start,destination,km,price
Dadar,Goregaon,38,20
Dadar,Sandhurst Road,14,10
Dadar,Dombivli,37,20
Dadar,Vikhroli,44,20
Dadar,Kurla,13,10
Dadar,Grant Road,42,20
Dadar,Santacruz,3,5
Dadar,Byculla,5,5
Dadar,Wadala Road,42,20
Dadar,Marine Lines,29,15
Dadar,Dockyard Road,3,5
Dadar,Ghatkopar,46,20
Dadar,Mulund,6,5
Dadar,Nahur,39,20
Dadar,Thakurli,4,5
Dadar,Chunabhatti,21,15
Dadar,Mahalaxmi,26,15
Dadar,Currey Road,37,20
Dadar,Bhayandar,21,15
Dadar,Matunga Road,20,10
Dadar,Malad,32,15
Dadar,Chhatrapati Shivaji Maharaj Terminus,47,20
Dadar,Kopar,33,15
Dadar,Vile Parle,49,20
Dadar,Chinchpokli,40,20
Dadar,Kalyan Junction,44,20
Dadar,Lower Parel,18,10
Dadar,Masjid,41,20
Dadar,Mira Road,1,5
Dadar,Andheri,2,5
Dadar,Mumbra,29,15
Dadar,Tilak Nagar,29,15
Dadar,Sion,6,5
Dadar,Dahisar,12,10
Dadar,Prabhadevi,32,15
Dadar,Parel,40,20
Dadar,Chembur,6,5
Dadar,Sanpada,4,5
Dadar,Kanjur Marg,18,10
Dadar,Charni Road,26,15
Dadar,Diva Junction,5,5
Dadar,Ram Mandir,31,15
Dadar,Matunga,25,15
Dadar,Mankhurd,26,15
Dadar,Borivali,47,20
Dadar,Guru Tegh Bahadur Nagar,21,15
Dadar,Mumbai Central,5,5
Dadar,Bandra,20,10
Dadar,Sewri,37,20
Dadar,Vidyavihar,10,10
Dadar,Khar Road,17,10
Dadar,Kandivli,41,20
Dadar,Jogeshwari,5,5
Dadar,Cotton Green,26,15
Dadar,Panvel,13,10
Dadar,Bhandup,5,5
Dadar,Naigaon,40,20
Dadar,Churchgate,17,10
Dadar,Vashi,22,15
Dadar,Kalwa,32,15
Dadar,Reay Road,4,5
Dadar,Mahim Junction,50,20
Dadar,Thane,6,5
Dadar,Nallasopara,8,5
Dadar,Vasai Road,1,5
Dadar,Virar,2,5
Goregaon,Dadar,38,20
Goregaon,Sandhurst Road,27,15
Goregaon,Dombivli,50,20
Goregaon,Vikhroli,7,5
Goregaon,Kurla,26,15
Goregaon,Grant Road,29,15
Goregaon,Santacruz,16,10
Goregaon,Byculla,18,10
Goregaon,Wadala Road,5,5
Goregaon,Marine Lines,42,20
Goregaon,Dockyard Road,16,10
Goregaon,Ghatkopar,9,5
Goregaon,Mulund,19,10
Goregaon,Nahur,2,5
Goregaon,Thakurli,17,10
Goregaon,Chunabhatti,34,15
Goregaon,Mahalaxmi,39,20
Goregaon,Currey Road,50,20
Goregaon,Bhayandar,34,15
Goregaon,Matunga Road,19,10
Goregaon,Malad,45,20
Goregaon,Chhatrapati Shivaji Maharaj Terminus,42,20
Goregaon,Kopar,46,20
Goregaon,Vile Parle,12,10
Goregaon,Chinchpokli,49,20
Goregaon,Kalyan Junction,7,5
Goregaon,Lower Parel,31,15
Goregaon,Masjid,4,5
Goregaon,Mira Road,14,10
Goregaon,Andheri,15,10
Goregaon,Mumbra,10,10
Goregaon,Tilak Nagar,42,20
Goregaon,Sion,19,10
Goregaon,Dahisar,49,20
Goregaon,Prabhadevi,45,20
Goregaon,Parel,3,5
Goregaon,Chembur,33,15
Goregaon,Sanpada,35,15
Goregaon,Kanjur Marg,31,15
Goregaon,Charni Road,13,10
Goregaon,Diva Junction,18,10
Goregaon,Ram Mandir,44,20
Goregaon,Matunga,14,10
Goregaon,Mankhurd,39,20
Goregaon,Borivali,10,10
Goregaon,Guru Tegh Bahadur Nagar,34,15
Goregaon,Mumbai Central,18,10
Goregaon,Bandra,33,15
Goregaon,Sewri,50,20
Goregaon,Vidyavihar,23,15
Goregaon,Khar Road,22,15
Goregaon,Kandivli,4,5
Goregaon,Jogeshwari,18,10
Goregaon,Cotton Green,13,10
Goregaon,Panvel,26,15
Goregaon,Bhandup,18,10
Goregaon,Naigaon,3,5
Goregaon,Churchgate,4,5
Goregaon,Vashi,35,15
Goregaon,Kalwa,7,5
Goregaon,Reay Road,35,15
Goregaon,Mahim Junction,39,20
Goregaon,Thane,19,10
Goregaon,Nallasopara,21,15
Goregaon,Vasai Road,14,10
Goregaon,Virar,15,10
Sandhurst Road,Dadar,14,10
Sandhurst Road,Goregaon,27,15
Sandhurst Road,Dombivli,28,15
Sandhurst Road,Vikhroli,21,15
Sandhurst Road,Kurla,50,20
Sandhurst Road,Grant Road,5,5
Sandhurst Road,Santacruz,12,10
Sandhurst Road,Byculla,10,10
Sandhurst Road,Wadala Road,23,15
Sandhurst Road,Marine Lines,36,20
Sandhurst Road,Dockyard Road,12,10
Sandhurst Road,Ghatkopar,19,10
Sandhurst Road,Mulund,9,5
Sandhurst Road,Nahur,26,15
Sandhurst Road,Thakurli,11,10
Sandhurst Road,Chunabhatti,8,5
Sandhurst Road,Mahalaxmi,13,10
Sandhurst Road,Currey Road,28,15
Sandhurst Road,Bhayandar,44,20
Sandhurst Road,Matunga Road,45,20
Sandhurst Road,Malad,19,10
Sandhurst Road,Chhatrapati Shivaji Maharaj Terminus,18,10
Sandhurst Road,Kopar,32,15
Sandhurst Road,Vile Parle,16,10
Sandhurst Road,Chinchpokli,25,15
Sandhurst Road,Kalyan Junction,31,15
Sandhurst Road,Lower Parel,47,20
Sandhurst Road,Masjid,28,15
Sandhurst Road,Mira Road,14,10
Sandhurst Road,Andheri,13,10
Sandhurst Road,Mumbra,36,20
Sandhurst Road,Tilak Nagar,36,20
Sandhurst Road,Sion,9,5
Sandhurst Road,Dahisar,25,15
Sandhurst Road,Prabhadevi,19,10
Sandhurst Road,Parel,25,15
Sandhurst Road,Chembur,9,5
Sandhurst Road,Sanpada,11,10
Sandhurst Road,Kanjur Marg,47,20
Sandhurst Road,Charni Road,39,20
Sandhurst Road,Diva Junction,10,10
Sandhurst Road,Ram Mandir,34,15
Sandhurst Road,Matunga,40,20
Sandhurst Road,Mankhurd,39,20
Sandhurst Road,Borivali,18,10
Sandhurst Road,Guru Tegh Bahadur Nagar,44,20
Sandhurst Road,Mumbai Central,10,10
Sandhurst Road,Bandra,45,20
Sandhurst Road,Sewri,24,15
Sandhurst Road,Vidyavihar,5,5
Sandhurst Road,Khar Road,48,20
Sandhurst Road,Kandivli,24,15
