Source,Destination,Distance (km),Fare
Chhatrapati Shivaji Maharaj Terminus,Masjid,1.0,5
Chhatrapati Shivaji Maharaj Terminus,Sandhurst Road,2.2,5
Chhatrapati Shivaji Maharaj Terminus,Byculla,3.7,5
Chhatrapati Shivaji Maharaj Terminus,Chinchpokli,5.2,10
Chhatrapati Shivaji Maharaj Terminus,Currey Road,6.2,10
Chhatrapati Shivaji Maharaj Terminus,Parel,7.7,10
Chhatrapati Shivaji Maharaj Terminus,Dadar,9.2,10
Chhatrapati Shivaji Maharaj Terminus,Matunga,10.7,15
Chhatrapati Shivaji Maharaj Terminus,Sion,11.7,15
Chhatrapati Shivaji Maharaj Terminus,Kurla,13.7,15
Chhatrapati Shivaji Maharaj Terminus,Vidyavihar,15.5,15
Chhatrapati Shivaji Maharaj Terminus,Ghatkopar,17.5,15
Chhatrapati Shivaji Maharaj Terminus,Vikhroli,20.5,20
Chhatrapati Shivaji Maharaj Terminus,Kanjur Marg,22.5,20
Chhatrapati Shivaji Maharaj Terminus,Bhandup,25.0,20
Chhatrapati Shivaji Maharaj Terminus,Nahur,27.0,20
Chhatrapati Shivaji Maharaj Terminus,Mulund,29.0,20
Chhatrapati Shivaji Maharaj Terminus,Thane,34.0,25
Chhatrapati Shivaji Maharaj Terminus,Kalwa,40.0,25
Chhatrapati Shivaji Maharaj Terminus,Mumbra,42.0,25
Chhatrapati Shivaji Maharaj Terminus,Diva Junction,48.0,25
Chhatrapati Shivaji Maharaj Terminus,Kopar,52.0,25
Chhatrapati Shivaji Maharaj Terminus,Dombivli,54.5,25
Chhatrapati Shivaji Maharaj Terminus,Thakurli,57.0,25
Chhatrapati Shivaji Maharaj Terminus,Kalyan Junction,61.0,25
Chhatrapati Shivaji Maharaj Terminus,Dockyard Road,3.7,5
Chhatrapati Shivaji Maharaj Terminus,Reay Road,5.2,10
Chhatrapati Shivaji Maharaj Terminus,Cotton Green,6.4,10
Chhatrapati Shivaji Maharaj Terminus,Sewri,7.5,10
Chhatrapati Shivaji Maharaj Terminus,Wadala Road,8.7,10
Chhatrapati Shivaji Maharaj Terminus,Guru Tegh Bahadur Nagar,10.2,15
Chhatrapati Shivaji Maharaj Terminus,Chunabhatti,11.7,15
Chhatrapati Shivaji Maharaj Terminus,Tilak Nagar,14.7,15
Chhatrapati Shivaji Maharaj Terminus,Chembur,16.2,15
Chhatrapati Shivaji Maharaj Terminus,Mankhurd,18.7,15
Chhatrapati Shivaji Maharaj Terminus,Vashi,20.7,20
Chhatrapati Shivaji Maharaj Terminus,Sanpada,22.7,20
Chhatrapati Shivaji Maharaj Terminus,Panvel,26.2,20
Masjid,Sandhurst Road,1.2,5
Masjid,Byculla,2.7,5
Masjid,Chinchpokli,4.2,5
Masjid,Currey Road,5.2,10
Masjid,Parel,6.7,10
Masjid,Dadar,8.2,10
Masjid,Matunga,9.7,10
Masjid,Sion,10.7,15
Masjid,Kurla,12.7,15
Masjid,Vidyavihar,14.5,15
Masjid,Ghatkopar,16.5,15
Masjid,Vikhroli,19.5,15
Masjid,Kanjur Marg,21.5,20
Masjid,Bhandup,24.0,20
Masjid,Nahur,26.0,20
Masjid,Mulund,28.0,20
Masjid,Thane,33.0,25
Masjid,Kalwa,39.0,25
Masjid,Mumbra,41.0,25
Masjid,Diva Junction,47.0,25
Masjid,Kopar,51.0,25
Masjid,Dombivli,53.5,25
Masjid,Thakurli,56.0,25
Masjid,Kalyan Junction,60.0,25
Masjid,Dockyard Road,2.7,5
Masjid,Reay Road,4.2,5
Masjid,Cotton Green,5.4,10
Masjid,Sewri,6.5,10
Masjid,Wadala Road,7.7,10
Masjid,Guru Tegh Bahadur Nagar,9.2,10
Masjid,Chunabhatti,10.7,15
Masjid,Tilak Nagar,13.7,15
Masjid,Chembur,15.2,15
Masjid,Mankhurd,17.7,15
Masjid,Vashi,19.7,15
Masjid,Sanpada,21.7,20
Masjid,Panvel,25.2,20
Sandhurst Road,Byculla,1.5,5
Sandhurst Road,Chinchpokli,3.0,5
Sandhurst Road,Currey Road,4.0,5
Sandhurst Road,Parel,5.5,10
Sandhurst Road,Dadar,7.0,10
Sandhurst Road,Matunga,8.5,10
Sandhurst Road,Sion,9.5,10
Sandhurst Road,Kurla,11.5,15
Sandhurst Road,Vidyavihar,13.3,15
Sandhurst Road,Ghatkopar,15.3,15
Sandhurst Road,Vikhroli,18.3,15
Sandhurst Road,Kanjur Marg,20.3,20
Sandhurst Road,Bhandup,22.8,20
Sandhurst Road,Nahur,24.8,20
Sandhurst Road,Mulund,26.8,20
Sandhurst Road,Thane,31.8,25
Sandhurst Road,Kalwa,37.8,25
Sandhurst Road,Mumbra,39.8,25
Sandhurst Road,Diva Junction,45.8,25
Sandhurst Road,Kopar,49.8,25
Sandhurst Road,Dombivli,52.3,25
Sandhurst Road,Thakurli,54.8,25
Sandhurst Road,Kalyan Junction,58.8,25
Sandhurst Road,Dockyard Road,1.5,5
Sandhurst Road,Reay Road,3.0,5
Sandhurst Road,Cotton Green,4.2,5
Sandhurst Road,Sewri,5.3,10
Sandhurst Road,Wadala Road,6.5,10
Sandhurst Road,Guru Tegh Bahadur Nagar,8.0,10
Sandhurst Road,Chunabhatti,9.5,10
Sandhurst Road,Tilak Nagar,12.5,15
Sandhurst Road,Chembur,14.0,15
Sandhurst Road,Mankhurd,16.5,15
Sandhurst Road,Vashi,18.5,15
Sandhurst Road,Sanpada,20.5,20
Sandhurst Road,Panvel,24.0,20
Byculla,Chinchpokli,1.5,5
Byculla,Currey Road,2.5,5
Byculla,Parel,4.0,5
Byculla,Dadar,5.5,10
Byculla,Matunga,7.0,10
Byculla,Sion,8.0,10
Byculla,Kurla,11.0,15
Byculla,Vidyavihar,12.8,15
Byculla,Ghatkopar,14.8,15
Byculla,Vikhroli,17.8,15
Byculla,Kanjur Marg,19.8,15
Byculla,Bhandup,22.3,20
Byculla,Nahur,24.3,20
Byculla,Mulund,26.3,20
Byculla,Thane,31.3,25
Byculla,Kalwa,37.3,25
Byculla,Mumbra,39.3,25
Byculla,Diva Junction,45.3,25
Byculla,Kopar,49.3,25
Byculla,Dombivli,51.8,25
Byculla,Thakurli,54.3,25
Byculla,Kalyan Junction,58.3,25
Byculla,Dockyard Road,3.0,5
Byculla,Reay Road,4.5,5
Byculla,Cotton Green,5.7,10
Byculla,Sewri,6.8,10
Byculla,Wadala Road,8.0,10
Byculla,Guru Tegh Bahadur Nagar,9.5,10
